Date,Store ID,Product Name,Category,Region,Year,Quarter,Day,DayOfWeek,EWMA
2022-01-01,0,6,4,0,2022,1,1,5,127.0
2022-01-01,0,2,3,0,2022,1,1,5,150.0
2022-01-01,0,19,3,0,2022,1,1,5,65.0
2022-01-01,0,12,3,0,2022,1,1,5,61.0
2022-01-01,0,18,0,0,2022,1,1,5,14.0
2022-01-01,0,0,4,0,2022,1,1,5,128.0
2022-01-01,0,5,1,0,2022,1,1,5,97.0
2022-01-01,0,4,2,0,2022,1,1,5,312.0
2022-01-01,0,14,0,0,2022,1,1,5,175.0
2022-01-01,0,9,3,0,2022,1,1,5,28.0
2022-01-01,0,3,1,0,2022,1,1,5,150.0
2022-01-01,0,13,2,0,2022,1,1,5,24.0
2022-01-01,0,8,3,0,2022,1,1,5,42.0
2022-01-01,0,17,2,0,2022,1,1,5,12.0
2022-01-01,0,7,2,0,2022,1,1,5,369.0
2022-01-01,0,11,0,0,2022,1,1,5,255.0
2022-01-01,0,1,3,0,2022,1,1,5,11.090353876590639
2022-01-01,0,16,2,0,2022,1,1,5,151.0
2022-01-01,0,10,2,0,2022,1,1,5,257.0
2022-01-01,0,15,3,0,2022,1,1,5,99.0
2022-01-01,1,6,4,1,2022,1,1,5,104.0
2022-01-01,1,2,2,1,2022,1,1,5,141.0
2022-01-01,1,19,1,1,2022,1,1,5,182.0
2022-01-01,1,18,3,1,2022,1,1,5,156.0
2022-01-01,1,0,1,1,2022,1,1,5,250.0
2022-01-01,1,5,4,1,2022,1,1,5,393.0
2022-01-01,1,4,0,1,2022,1,1,5,29.0
2022-01-01,1,14,2,1,2022,1,1,5,9.0
2022-01-01,1,9,0,1,2022,1,1,5,126.0
2022-01-01,1,3,4,1,2022,1,1,5,13.0
2022-01-01,1,13,4,1,2022,1,1,5,25.0
2022-01-01,1,8,2,1,2022,1,1,5,283.0
2022-01-01,1,17,0,1,2022,1,1,5,359.0
2022-01-01,1,7,3,1,2022,1,1,5,129.0
2022-01-01,1,11,3,1,2022,1,1,5,63.0
2022-01-01,1,1,4,1,2022,1,1,5,373.0
2022-01-01,1,16,4,1,2022,1,1,5,160.0
2022-01-01,1,10,3,1,2022,1,1,5,15.0
2022-01-01,1,15,3,1,2022,1,1,5,101.0
2022-01-01,2,2,0,2,2022,1,1,5,4.0
2022-01-01,2,19,4,2,2022,1,1,5,77.0
2022-01-01,2,12,3,2,2022,1,1,5,31.0
2022-01-01,2,18,2,2,2022,1,1,5,325.0
2022-01-01,2,0,4,2,2022,1,1,5,163.0
2022-01-01,2,5,0,2,2022,1,1,5,34.0
2022-01-01,2,4,3,2,2022,1,1,5,47.0
2022-01-01,2,14,4,2,2022,1,1,5,15.0
2022-01-01,2,9,4,2,2022,1,1,5,126.0
2022-01-01,2,3,3,2,2022,1,1,5,232.0
2022-01-01,2,13,0,2,2022,1,1,5,175.0
2022-01-01,2,8,1,2,2022,1,1,5,17.0
2022-01-01,2,17,0,2,2022,1,1,5,369.0
2022-01-01,2,7,2,2,2022,1,1,5,260.0
2022-01-01,2,11,4,2,2022,1,1,5,347.0
2022-01-01,2,1,2,2,2022,1,1,5,150.0
2022-01-01,2,16,3,2,2022,1,1,5,70.0
2022-01-01,2,10,2,2,2022,1,1,5,249.0
2022-01-01,2,15,0,2,2022,1,1,5,370.0
2022-01-01,3,6,3,3,2022,1,1,5,271.0
2022-01-01,3,2,2,3,2022,1,1,5,180.0
2022-01-01,3,19,2,3,2022,1,1,5,344.0
2022-01-01,3,18,4,3,2022,1,1,5,200.0
2022-01-01,3,0,0,3,2022,1,1,5,382.0
2022-01-01,3,5,0,3,2022,1,1,5,190.0
2022-01-01,3,4,1,3,2022,1,1,5,51.0
2022-01-01,3,14,1,3,2022,1,1,5,40.0
2022-01-01,3,9,4,3,2022,1,1,5,104.0
2022-01-01,3,3,0,3,2022,1,1,5,46.0
2022-01-01,3,13,0,3,2022,1,1,5,9.0
2022-01-01,3,8,1,3,2022,1,1,5,56.0
2022-01-01,3,17,0,3,2022,1,1,5,63.0
2022-01-01,3,7,2,3,2022,1,1,5,181.0
2022-01-01,3,11,4,3,2022,1,1,5,94.0
2022-01-01,3,1,0,3,2022,1,1,5,46.0
2022-01-01,3,16,4,3,2022,1,1,5,8.0
2022-01-01,3,10,4,3,2022,1,1,5,172.0
2022-01-01,3,15,2,3,2022,1,1,5,68.0
2022-01-01,4,6,3,2,2022,1,1,5,77.0
2022-01-01,4,2,2,2,2022,1,1,5,298.0
2022-01-01,4,19,0,2,2022,1,1,5,64.0
2022-01-01,4,18,2,2,2022,1,1,5,21.0
2022-01-01,4,0,4,2,2022,1,1,5,176.0
2022-01-01,4,5,2,2,2022,1,1,5,131.0
2022-01-01,4,14,4,2,2022,1,1,5,97.0
2022-01-01,4,9,2,2,2022,1,1,5,8.0
2022-01-01,4,3,4,2,2022,1,1,5,104.0
2022-01-01,4,13,0,2,2022,1,1,5,87.0
2022-01-01,4,8,1,2,2022,1,1,5,238.0
2022-01-01,4,17,0,2,2022,1,1,5,171.0
2022-01-01,4,7,1,2,2022,1,1,5,250.0
2022-01-01,4,11,2,2,2022,1,1,5,11.0
2022-01-01,4,1,0,2,2022,1,1,5,371.0
2022-01-01,4,16,1,2,2022,1,1,5,107.0
2022-01-01,4,10,4,2,2022,1,1,5,106.0
2022-01-01,4,15,0,2,2022,1,1,5,101.0
2022-01-02,0,6,4,0,2022,1,2,6,126.99999999951882
2022-01-02,0,2,2,0,2022,1,2,6,150.00000000013597
2022-01-02,0,12,4,0,2022,1,2,6,61.00000000057531
2022-01-02,0,18,0,0,2022,1,2,6,14.000000001945624
2022-01-02,0,0,1,0,2022,1,2,6,127.99999999926777
2022-01-02,0,5,0,0,2022,1,2,6,96.99999999957112
2022-01-02,0,4,2,0,2022,1,2,6,311.9999999975104
2022-01-02,0,14,3,0,2022,1,2,6,174.99999999873427
2022-01-02,0,9,2,0,2022,1,2,6,28.000000000115058
2022-01-02,0,3,1,0,2022,1,2,6,149.99999999855646
2022-01-02,0,13,1,0,2022,1,2,6,24.000000000334726
2022-01-02,0,8,3,0,2022,1,2,6,41.999999999884935
2022-01-02,0,17,0,0,2022,1,2,6,12.000000000135982
2022-01-02,0,7,0,0,2022,1,2,6,368.99999999821125
2022-01-02,0,11,0,0,2022,1,2,6,254.99999999813804
2022-01-02,0,16,3,0,2022,1,2,6,150.9999999988598
2022-01-02,0,10,1,0,2022,1,2,6,256.9999999973953
2022-01-02,0,15,0,0,2022,1,2,6,99.00000000078452
2022-01-02,1,6,0,1,2022,1,2,6,104.00000000250002
2022-01-02,1,2,1,1,2022,1,2,6,140.99999999926774
2022-01-02,1,19,4,1,2022,1,2,6,181.9999999997385
2022-01-02,1,18,4,1,2022,1,2,6,155.99999999903764
2022-01-02,1,0,4,1,2022,1,2,6,250.00000000024056
2022-01-02,1,5,4,1,2022,1,2,6,392.99999999847273
2022-01-02,1,4,0,1,2022,1,2,6,29.00000000013598
2022-01-02,1,14,0,1,2022,1,2,6,9.000000001966546
2022-01-02,1,9,4,1,2022,1,2,6,126.00000000259416
2022-01-02,1,3,1,1,2022,1,2,6,13.000000001474909
2022-01-02,1,13,3,1,2022,1,2,6,25.000000002207134
2022-01-02,1,8,3,1,2022,1,2,6,282.9999999999477
2022-01-02,1,17,1,1,2022,1,2,6,358.99999999652715
2022-01-02,1,7,3,1,2022,1,2,6,128.9999999997594
2022-01-02,1,11,3,1,2022,1,2,6,63.000000000951886
2022-01-02,1,1,2,1,2022,1,2,6,372.99999999793926
2022-01-02,1,16,4,1,2022,1,2,6,159.9999999996234
2022-01-02,1,15,2,1,2022,1,2,6,100.9999999997594
2022-01-02,2,2,4,2,2022,1,2,6,3.999999999979079
2022-01-02,2,19,3,2,2022,1,2,6,76.99999999926777
2022-01-02,2,12,1,2,2022,1,2,6,31.000000000240586
2022-01-02,2,18,1,2,2022,1,2,6,324.99999999955014
2022-01-02,2,0,4,2,2022,1,2,6,162.99999999926777
2022-01-02,2,5,0,2,2022,1,2,6,34.000000000533475
2022-01-02,2,4,2,2,2022,1,2,6,47.00000000093097
2022-01-02,2,14,0,2,2022,1,2,6,15.000000001307544
2022-01-02,2,9,1,2,2022,1,2,6,125.99999999950835
2022-01-02,2,3,1,2,2022,1,2,6,231.99999999868197
2022-01-02,2,13,4,2,2022,1,2,6,174.99999999817987
2022-01-02,2,8,0,2,2022,1,2,6,17.000000001945622
2022-01-02,2,17,3,2,2022,1,2,6,368.99999999998954
2022-01-02,2,7,0,2,2022,1,2,6,260.00000000027194
2022-01-02,2,11,2,2,2022,1,2,6,346.999999997092
2022-01-02,2,1,3,2,2022,1,2,6,149.99999999897489
2022-01-02,2,16,3,2,2022,1,2,6,70.00000000040795
2022-01-02,2,10,1,2,2022,1,2,6,248.99999999791837
2022-01-02,3,6,0,3,2022,1,2,6,270.9999999973953
